ID,chemical_name,DTXSID,parent_or_TP,TP_of,use_group,use_group_details,additional_use_info,target_taxa,MoA_broad,MoA_specific,molecular_target,further_MoA_info,nontarget_taxa,nontarget_taxa_alert,source,MoA_comment,date_of_retrieval,PubChem_CID,InChIKey,comment_compound
ID_0079,(1-butyl-1H-indol-3-yl)(4-methylnaphthalen-1-yl)methanone,DTXSID601017183,parent,n/a,Drug of abuse,Cannabinoid,n/a,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,Gambaro et al. 2014 (doi: 10.1016/j.jchromb.2014.03.001),n/a,10/3/2022,91743259,DOKBVCMQPGKQGV-UHFFFAOYSA-N,n/a
ID_0080,1-Butyl-3-(1-naphthoyl) indole,DTXSID20175042,parent,n/a,Drug of abuse,Cannabinoid/Analgetic,n/a,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,wikipedia,n/a,3/14/2022,10471670,VCHHHSMPMLNVGS-UHFFFAOYSA-N,n/a
ID_0081,Diniconazole,DTXSID2040363,parent,n/a,Pesticide,F,n/a,fungi,Sterol biosynthesis inhibition,C14-demethylase inhibition,C14-demethylase (erg11/cyp51),Ergosterol biosynthesis inhibition,n/a,n/a,"PPDB, FRAC",n/a,5/15/2022,6436605,FBOUIAKEJMZPQG-AWNIVKPZSA-N,n/a
ID_0082,Stiripentol,DTXSID6049068,parent,n/a,Pharmaceutical,Ph Anticonvulsant,n/a,humans,Neuroactive,"GABA(A) receptor agonist, GABA(A) receptor positive allosteric modulator, Lactate dehydrogenase inhibition",GABA(A) receptor,n/a,n/a,n/a,drugbank,n/a,2/25/2022,39524,IBLNKMRFIPWSOY-UHFFFAOYSA-N,n/a
ID_0083,Uniconazole,DTXSID7032505,parent,n/a,Pesticide,Plant growth regulator,n/a,plants,Endocrine,Gibberellin biosynthesis inhibition,n/a,n/a,n/a,n/a,PPDB,n/a,7/13/2022,6436604,YNWVFADWVLCOPU-MDWZMJQESA-N,n/a
ID_0084,"trans-1,3-Dichloropropene",DTXSID2042480,parent,n/a,"Biocide, Pesticide",B + Nematicide,constituent of soil fumigant D-D,"nematodes, bacteria",unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, wikipedia, Climie et al. 1979 (doi: 10.3109/00498257909038715)",n/a,3/15/2022,24726,UOORRWUZONOOLO-OWOJBTEDSA-N,n/a
ID_0085,Acetamiprid,DTXSID0034300,parent,n/a,Pesticide,I,n/a,insects,Neuroactive,nAChR agonist,Nicotinic acetylcholine receptor (nAChR),n/a,"birds, earthworms",n/a,PPDB,n/a,3/1/2021,n/a,WCXDHFDTOYPNIE-RIYZIHGNSA-N,n/a
ID_0086,Triflumizole,DTXSID2032500,parent,n/a,Pesticide,F,n/a,fungi,Sterol biosynthesis inhibition,C14-demethylase inhibition,C14-demethylase (erg11/cyp51),n/a,fish,n/a,FRAC,n/a,12/15/2021,n/a,HSMVPDGQOIQYSR-KGENOOAVSA-N,n/a
ID_0087,alpha-Humalene,DTXSID30858793,parent,n/a,"Natural, Industrial Chemical",IC,"Brewing process of beer, potential antiinflammatory effects",n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,2/25/2022,5281520,FAMPSKZZVDUYOS-HRGUGZIWSA-N,n/a
ID_0088,Curcumin,DTXSID8031077,parent,n/a,"Natural, Industrial Chemical, Pharmaceutical, Food Additive",IC Fragrance + FA Flavorant,antibacterial/anti-inflammatory/hypoglycemic/antioxidant/wound-healing/antimicrobial activities ,n/a,Signal transduction,"Lipid peroxidation inhibition, Peroxide-induced DNA damage inhibition",n/a,"scavenger of oxygen species, inhibits protein kinases, c-Jun/AP-1 activation, prostaglandin biosynthesis, and the activity and expression of the enzyme cyclooxygenase (COX)-2",n/a,n/a,"drugbank, wikipedia",n/a,7/18/2022,969516,VFLDPWHFBUODDF-FCXRPNKRSA-N,n/a
ID_0089,"1,2,4-Triazole-1-acetic acid",DTXSID90365231,TP,"Bitertanol, Cyproconazole, Epoxiconazole, Fenbuconazole, Fluquinconazole, Hexaconazole , Myclobutanil, Paclobutrazol, Penconazole, Tebuconazole, Tetraconazole and Triadimenol",Pesticide,TP F,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,12/18/2021,1810180,RXDBSQXFIWBJSR-UHFFFAOYSA-N,n/a
ID_0090,JWH-019,DTXSID70175118,parent,n/a,Drug of abuse,Cannabinoid/Analgetic,n/a,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,wikipedia,n/a,5/31/2022,52224389,PALJPGHWDUHUPO-UHFFFAOYSA-N,n/a
ID_0091,(1-Hexyl-5-phenyl-1H-pyrrol-3-yl)(naphthalen-1-yl)methanone,DTXSID00658823,parent,n/a,Drug of abuse,Cannabinoid/Analgetic,n/a,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,wikipedia,n/a,6/17/2022,44418307,FRMYAMAGHYHNKF-UHFFFAOYSA-N,n/a
ID_0092,Indole-3-acetic acid,DTXSID5020738,parent,n/a,Natural,Plant hormone (auxin),"plant growth regulator, used in fertilizer",plants,unknown,Photorespiratory-dependent cell death inhibition,n/a,"binds to a protein complex composed of a ubiquitin-activating enzyme (E1), a ubiquitin-conjugating enzyme (E2), and a ubiquitin ligase (E3)",n/a,n/a,wikipedia,n/a,2/23/2022,802,SEOVTRFCIGRIMH-UHFFFAOYSA-N,n/a
ID_0093,Oxyphencyclimine,DTXSID4023410,parent,n/a,Pharmaceutical,Ph Antispasmodic,n/a,humans,Neuromuscular system,mAChR antagonist,"Muscarinic acetylcholine receptor (mAChR) M1, M2, M3",n/a,n/a,n/a,drugbank,n/a,7/5/2022,4642,DUDKAZCAISNGQN-UHFFFAOYSA-N,n/a
ID_0094,Oxyphencyclimine hydrochloride,DTXSID6045909,parent,n/a,Pharmaceutical,Ph Antispasmodic,n/a,humans,Neuromuscular system,mAChR antagonist,"Muscarinic acetylcholine receptor (mAChR) M1, M2, M3",n/a,n/a,n/a,drugbank,info about Oxyphencyclimine,7/22/2022,657252,WXAYTPABEADAAB-UHFFFAOYSA-N,n/a
ID_0095,Ronidazole,DTXSID6045400,parent,n/a,Pharmaceutical,Ph Antiprotozoal,veterinary substance,protozoa,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,11/3/2021,5094,PQFRTXSWDXZRRS-UHFFFAOYSA-N,n/a
ID_0096,UR-144,DTXSID60152635,parent,n/a,Drug of abuse,Cannabinoid,n/a,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,wikipedia,n/a,7/13/2022,44626619,NBMMIBNZVQFQEO-UHFFFAOYSA-N,n/a
ID_0097,(1-Propyl-1H-indol-3-yl)(4-propylnaphthalen-1-yl)methanone,DTXSID80669851,parent,n/a,Drug of abuse,Cannabinoid,n/a,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,Huffmann et al. 2005 (doi: 10.1016/j.bmc.2004.09.050),n/a,10/4/2022,45266978,BMOMWXXAVVSIRU-UHFFFAOYSA-N,n/a
ID_0098,Nortramadol,DTXSID001018771,TP,Tramadol,Pharmaceutical,TP Ph Analgetic,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"drugbank, wikipedia, El-Haj et al. 2009 (doi: 10.1093/jat/33.1.34)",n/a,7/23/2022,12149038,VUMQHLSPUAFKKK-HIFRSBDPSA-N,n/a
ID_0099,"Benzenemethanol, .alpha.-[(1R)-1-aminoethyl]-, (.alpha.R)-rel-",DTXSID20889399,parent,n/a,Drug of abuse,Stimulant,appetite stimulant,humans,Neuroactive,"Noradrenaline releasing agent (NRA), Dopamine releasing agent (DRA)",Noradrenaline and dopamine transporter,n/a,n/a,n/a,"wikipedia, drugbank",n/a,5/15/2022,n/a,DLNKOYKMWOXYQA-OWWGPPLWNA-N,n/a
ID_0100,Cannabidiol,DTXSID00871959,parent,n/a,"Pharmaceutical, Drug of abuse",Ph Analgetic,n/a,humans,Neuroactive,Cannabinoid receptor antagonist,Cannabinoid receptor CB1 and CB2,exact mechanism of action of CBD not fully understood,n/a,n/a,wikipedia,n/a,10/31/2021,644019,QHMBSVQNZZTUGM-ZWKOTPCHSA-N,n/a
ID_0101,trans-Chlordane,DTXSID4038346,parent,n/a,Pesticide,I,obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,"mammals, birds, fish",potential endocrine disruptor and neurotoxicant in humans,"PPDB, wikipedia","insecticide chlordane is a mixture composed of trans-chlordane, cis-chlordane, trans-nonachlor, cis-nonachlor and man other components",7/23/2022,45356234,BIWJNBZANLAXMG-MPPHZFHBSA-N,n/a
ID_0102,beta-HCH,DTXSID7020685,parent,n/a,Pesticide,I,"historically used as insecticide, today only byproduct of lindane production",insects,unknown,n/a,n/a,n/a,n/a,potential cancerogen,wikipedia,n/a,12/23/2021,n/a,JLYXXMFPNIAWKQ-CDRYSYESSA-N,n/a
ID_0103,alpha-HCH,DTXSID2020684,parent,n/a,Pesticide,I,"historically used as insecticide, today only byproduct of lindane production",insects,unknown,n/a,n/a,n/a,mammals,potential cancerogen in humans,PPDB,n/a,12/23/2021,n/a,JLYXXMFPNIAWKQ-SHFUYGGZSA-N,n/a
ID_0104,trans-Nonachlor,DTXSID5052709,parent,n/a,Pesticide,I,obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,vertebrates,"more toxic than technical chlordane, neurotoxic, skin and eye irritant, exposure to the compound has been linked to cancers/diabetes/neurological disorders","PPDB, wikipedia","insecticide chlordane is a mixture composed of trans-chlordane, cis-chlordane, trans-nonachlor, cis-nonachlor and man other components",7/23/2022,n/a,OCHOKXCPKDPNQU-DFACZZRHSA-N,n/a
ID_0105,epsilon-HCH,DTXSID0024135,parent,n/a,"Industrial Chemical, Pesticide",n/a,"residue, no pesticide use",n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, Fuscoletti et al. 2015 (doi: 10.1007/s00128-015-1516-6)",n/a,3/9/2022,n/a,JLYXXMFPNIAWKQ-DCLYFUHFSA-N,n/a
ID_1834,JWH-073 Butanoic Acid,DTXSID401016341,TP,AM-2201,Drug of abuse,TP Cannabinoid,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Carlier et al. 2018 (doi: 10.1124/jpet.118.250530),n/a,11/21/2021,53394457,YQRYKVLRMJAKGU-UHFFFAOYSA-N,n/a
ID_0107,Scopolamine-Methyl,DTXSID0046931,parent,n/a,Pharmaceutical,Ph,reducing stomach acid secretion,humans,Neuromuscular system,mAChR antagonist,Muscarinic acetylcholine receptors (mAChR),n/a,n/a,n/a,"drugbank, wikipedia",n/a,7/9/2022,n/a,LZCOQTDXKCNBEE-IKIFYQGPSA-N,n/a
ID_0108,Scopolamine methylbromide,DTXSID2040608,parent,n/a,Pharmaceutical,Ph Antiemetic,n/a,humans,Neuromuscular system,mAChR antagonist,Muscarinic acetylcholine receptors (mAChR),n/a,n/a,n/a,drugbank,n/a,7/22/2022,n/a,CXYRUNPLKGGUJF-RAFJPFSSSA-M,n/a
ID_0109,N-Butylscopolamine,DTXSID4048145,parent,n/a,Pharmaceutical,Ph Antispasmodic,n/a,humans,Neuromuscular system,mAChR antagonist,Muscarinic acetylcholine receptors (mAChR) M3,n/a,n/a,n/a,"wikipedia, drugbank",n/a,3/1/2021,n/a,YBCNXCRZPWQOBR-WVHCHWADSA-N,n/a
ID_1728,Dopamine,DTXSID6022420,parent,n/a,"Natural, Pharmaceutical",Ph + Neurotransmitter,treatment of hemodynamic imbalances/poor perfusion of vital organs/low cardiac output/hypotension,humans,Neuroactive,"Dopamine receptor agonist, Dopamine transporter inducer","Dopamine receptors (D1, D2, D3, D4, D5)",Dopamine beta-hydroxylase ligand,n/a,n/a,drugbank,n/a,3/1/2022,681,VYFYYTLLBUKUHU-UHFFFAOYSA-N,n/a
ID_0111,"(1R,2S)-2-(Aminomethyl)-1-(3-methoxyphenyl)cyclohexan-1-ol | N-Bisdesmethyl Tramadol",DTXSID90652198,TP,Tramadol,Pharmaceutical,TP Ph Analgetic,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Elghazali et al. 2008 (doi: 10.1016/j.tvjl.2007.07.008),n/a,10/3/2022,29922743,QNPPIKMBCJUUTG-JSGCOSHPSA-N,n/a
ID_0112,Milnacipran,DTXSID3048287,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,Serotonin-noradrenaline reuptake inhibition (SNRI),Sodium-dependent serotonin and noradrenaline transporter,n/a,n/a,n/a,drugbank,n/a,7/4/2022,n/a,GJJFMKBJSRMPLA-UYWMCZCJNA-N,n/a
ID_0113,(-)-Methylephedrine,DTXSID7045992,parent,n/a,Pharmaceutical,Ph Antitussive/Bronchodilator,n/a,humans,"Respiratory system, Neuromuscular system","Alpha adrenergic receptor agonist, Beta adrenergic receptor agonist","Alpha adrenergic receptor, Beta adrenergic receptor",n/a,n/a,n/a,drugbank,n/a,7/4/2022,64782,FMCGSUUBYTWNDP-ONGXEEELSA-N,n/a
ID_0114,Ephedrine,DTXSID0022985,parent,n/a,Pharmaceutical,Ph Hypotension,n/a,humans,Cardiovascular system,"Alpha adrenergic receptor agonist, Beta adrenergic receptor agonist","Alpha-1A, Beta-1 and Beta-2 adrenergic receptor",inhibiting norepinephrine reuptake,n/a,n/a,drugbank,n/a,10/31/2021,9294,KWGRBVOPPLSCSI-WPRPVWTQSA-N,n/a
ID_0115,Tranylcypromine,DTXSID2023694,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,MAO inhibition,Monoamine oxidase (MOA),n/a,n/a,n/a,drugbank,n/a,7/12/2022,19493,AELCINSCMGFISI-DTWKUNHWSA-N,n/a
ID_0116,cis-Chlordane,DTXSID6038326,parent,n/a,Pesticide,I,obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,"mammals, birds, fish",potential endocrine disruptor and neurotoxicant in humans,"PPDB, wikipedia","insecticide chlordane is a mixture composed of trans-chlordane, cis-chlordane, trans-nonachlor, cis-nonachlor and man other components",7/23/2022,1550472,BIWJNBZANLAXMG-KMMBHOGFSA-N,n/a
ID_0117,gamma-HCH,DTXSID2020686,parent,n/a,Pesticide,I/A/Rodenticide,veterinary substance,"insects, rodents","Neuroactive, Cancerogen",GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,"mammals, fish","potential cancerogen, endocrine disruptor and neurotoxicant in humans","PPDB, wikipedia, IARC/1/2018",n/a,12/19/2021,n/a,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,n/a
ID_0118,delta-HCH,DTXSID5024134,parent,n/a,Pesticide,n/a,food residue,insects,Neuroactive,"Calcium release induction, Neurotransmitter release inhibition",Ryanodine-sensitive Ca2+ channels,n/a,vertebrates,n/a,"CPDat, wikipedia, Mohr et al. 1995, Wu et al. 2000",n/a,2/20/2022,n/a,JLYXXMFPNIAWKQ-GPIVLXJGSA-N,n/a
ID_0119,cis-Nonachlordane,DTXSID40872581,parent,n/a,Pesticide,I,obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,vertebrates,"more toxic than technical chlordane, neurotoxic, skin and eye irritant, exposure to the compound has been linked to cancers/diabetes/neurological disorders","PPDB, wikipedia","insecticide chlordane is a mixture composed of trans-chlordane, cis-chlordane, trans-nonachlor, cis-nonachlor and man other components",7/23/2022,n/a,OCHOKXCPKDPNQU-KCCZGPNFSA-N,n/a
ID_0120,Cyproterone,DTXSID3022873,parent,n/a,Pharmaceutical,Ph Steroid,used as Cyproterone acetate,humans,Endocrine,Androgen receptor antagonist,Androgen receptor,blockage of the binding of dihydrotestosterone to the specific receptors in the prostatic carcinoma cell,n/a,n/a,"drugbank, wikipedia","Cyproterone not available as medication, only Cyproterone acetate",10/18/2021,5284537,DUSHUSLJJMDGTE-ZJPMUUANSA-N,n/a
ID_0121,Norgestimate,DTXSID1046922,parent,n/a,Pharmaceutical,Ph Contraceptive,n/a,humans,Endocrine,"Progesterone receptor agonist, Estrogen receptor agonist","Progesterone receptors, Estrogen receptor",n/a,n/a,n/a,drugbank,n/a,10/18/2021,6540478,KIQQMECNKUGGKA-NMYWJIRASA-N,n/a
ID_0122,Levonorgestrel | Norgestrel,DTXSID3036496,parent,n/a,Pharmaceutical,Ph Contraceptive,n/a,humans,Endocrine,"Progesterone receptor modulator, 3-oxo-5-alpha-steroid 4-dehydrogenase 1 inhibition","Progesterone receptor, Estrogen receptor alpha, 3-oxo-5-alpha-steroid 4-dehydrogenase 1",n/a,n/a,n/a,drugbank,n/a,2/18/2022,13109,WWYNJERNGUHSAO-XUDSTZEESA-N,n/a
ID_0123,Gestodene,DTXSID6046478,parent,n/a,Pharmaceutical,Ph Contraceptive,n/a,humans,Endocrine,Progesterone receptor agonist,Progesterone receptor,n/a,n/a,n/a,"drugbank, wikipedia",n/a,10/21/2021,3033968,SIGSPDASOTUPFS-XUDSTZEESA-N,n/a
ID_0124,Canrenone,DTXSID3045930,parent + TP,Spironolactone ,Pharmaceutical,Ph Diuretic,n/a,humans,Endocrine,Mineralocorticoid receptor antagonist,Aldosteron receptor,active metabolite of spironolactone ,n/a,n/a,"wikipedia, drugbank",n/a,10/31/2021,13789,UJVLDDZCTMKXJK-WNHSNXHDSA-N,n/a
ID_0125,Gestrinone,DTXSID4023094,parent,n/a,Pharmaceutical,Ph Steroid,n/a,humans,Endocrine,"Progesterone receptor agonist, Progesterone receptor antagonist, Estrogen receptor agonist, Estrogen receptor antagonist, Androgen receptor antagonist, Gonadotropin-releasing hormone receptor antagonist, Sex hormone-binding globulin antagonist","Progesterone receptor, Estrogen receptor , Androgen receptor, Gonadotropin-releasing hormone receptor, Sex hormone-binding globulin",complex moA,n/a,n/a,"drugbank, wikipedia",n/a,5/19/2022,27812,BJJXHLWLUDYTGC-ANULTFPQSA-N,n/a
ID_1812,Epinephrine,DTXSID5022986,parent,n/a,"Natural, Pharmaceutical",Ph + Neurotransmitter /Hormone,"treatment of allergic reactions, to restore cardiac rhythm, and to control mucosal congestion, glaucoma, and asthma",humans,"Neuroactive, Cardiovascular system","Alpha adrenergic receptor agonist, Beta adrenergic receptor agonist","Alpha-1, alpha-2, beta-1, beta-2 adrenergic receptor",n/a,n/a,n/a,drugbank,n/a,2/28/2022,139148732,UCTWMZQNUQWSLP-VIFPVBQESA-N,n/a
ID_1520,Phenazopyridine,DTXSID1023445,parent,n/a,Pharmaceutical,Ph Analgetic/Anaesthetic,n/a,humans,Neuroactive,Sodium channel inhibition,Voltage-gated sodium channel alpha subunit,moA not fully understood,n/a,n/a,drugbank,n/a,7/5/2022,4756,QPFYXYFORQJZEC-UHFFFAOYSA-N,n/a
ID_1258,Hydroxychloroquine,DTXSID8023135,parent,n/a,Pharmaceutical,Ph Antimalarial/Antirheumatic,n/a,"parasites (in humans), humans",Nucleic acid damage,"DNA cross-linking, DNA alkylation, Toll-like receptor antagonist","DNA, Toll-like receptor 7 and 9","exact mechanisms unknown, inhibits terminal glycosylation of Angiotensin-converting enzyme 2 (SARS-CoV)",n/a,n/a,"drugbank, wikipedia",n/a,2/18/2022,3652,XXSMGPRMXLTPCZ-UHFFFAOYSA-N,n/a
ID_0129,Hyoscyamine,DTXSID80889335,parent,n/a,"Natural, Pharmaceutical",Ph Anticholinergic/Antimuscarinic,n/a,humans,"Neuroactive, Cardiovascular system",mAChR antagonist,Muscarinic acetylcholine receptors (mAChR),n/a,n/a,n/a,"drugbank, wikipedia",n/a,2/28/2022,n/a,RKUNBYITZUJHSG-FXUDXRNXSA-N,n/a
ID_0130,Tropisetron,DTXSID2044137,parent,n/a,Pharmaceutical,Ph Antiemetic,n/a,humans,Neuroactive,Serotonin receptor antagonist,Serotonin 5-HT3 receptors,n/a,n/a,n/a,drugbank,n/a,7/13/2022,n/a,ZNRGQMMCGHDTEI-ITGUQSILSA-N,n/a
ID_2839,Embutramide,DTXSID7057654,parent,n/a,Pharmaceutical,Ph Analgetic/Anaesthetic,"sedative, veterinary substance",vertebrates,Neuroactive,Opioid receptor modulator,Opioid receptors,produces respiratory depression,n/a,n/a,wikipedia,n/a,5/15/2022,27453,LMBMDLOSPKIWAP-UHFFFAOYSA-N,n/a
ID_2469,Meperidine | Pethidine,DTXSID9023253,parent,n/a,Pharmaceutical,Ph Analgetic/Anaesthetic,n/a,humans,Neuroactive,Opioid receptor agonist,Opioid receptors (Kappa-type),n/a,n/a,n/a,drugbank,n/a,11/21/2021,4058,XADCESSVHJOZHK-UHFFFAOYSA-N,n/a
ID_0133,Anisatin,DTXSID6058396,parent,n/a,Natural,n/a,"Insecticidally active , anticonvulsive",n/a,Neuroactive,GABA receptor antagonist,GABA receptor,n/a,n/a,n/a,"wikipedia, Kudo et al. 1981 (doi: 10.1016/0304-3940(81)90105-1)",n/a,2/25/2022,115121,GEVWHIDSUOMVRI-QWNPAUMXSA-N,n/a
ID_0134,Nystatin A2 | Nystadin,DTXSID40872324,parent,n/a,Pharmaceutical,Ph Antifungal,n/a,fungi (in humans),Cell membrane disruption,"Ion transport disruption, Ergosterol binder",Ergosterol,Ionophore,n/a,n/a,"drugbank, wikipedia, Brescansin et al. 2013 (doi: 10.4025/actascihealthsci.v35i2.12769)","Commercial Nystatin is a mixture of compounds named NIS A1, A2 and A3",2/28/2022,72941583,RALQCAVZSAUESR-XTEMEEEFSA-N,Related compound of mixture
ID_0135,Tranexamic acid,DTXSID3045350,parent,n/a,Pharmaceutical,Ph Antifibrinolytic,n/a,humans,unknown,Plasminogen activation inhibition,Plasminogen,n/a,n/a,n/a,drugbank,n/a,7/12/2022,n/a,GYDJEQRTZSCIOI-LJGSYFOKSA-N,n/a
ID_0136,Ambroxol,DTXSID8022583,parent,n/a,Pharmaceutical,Ph Secretolytic,antiinflammatory,humans,"Neuroactive, Respiratory system",Sodium channel inhibition,Sodium channels,"inhibition of NO-dependent activation of soluble guanylate cyclase, release of calcium from acid cellular calcium stores, stimulates synthesis and release of surfactant by type II pneumocytes",n/a,n/a,"wikipedia, drugbank",n/a,3/1/2021,n/a,JBDGDEWWOUBZPM-XYPYZODXSA-N,n/a
ID_0137,Isodrin,DTXSID7042065,parent,n/a,Pesticide,I,obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,"mammals, fish","potential endocrine disruptor, reproduction/development effects and neurotoxicant in humans",PPDB,n/a,3/14/2022,n/a,QBYJBZPUGVGKQQ-DIFDVCDBNA-N,n/a
ID_0138,Aldrin,DTXSID8020040,parent,n/a,Pesticide,I,considered obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,"mammals, birds, fish, aquatic invertebrates",potential carcinogen and neurotoxicant,"PPDB, wikipedia",n/a,3/19/2022,12310947,QBYJBZPUGVGKQQ-SJJAEHHWSA-N,n/a
ID_0139,Senkirkine,DTXSID4021266,parent,n/a,Natural,Alkaloid,n/a,n/a,unknown,n/a,n/a,n/a,n/a,hepatotoxic,"pubchem, IARC/3/1987, Schoental 1970 (doi: 10.1038/227401a0)",n/a,2/25/2022,5281752,HPDHKHMHQGCNPE-QLJRNOHWSA-N,n/a
ID_2256,Buspirone,DTXSID2022707,parent,n/a,Pharmaceutical,Ph Anxiolytic,n/a,humans,Neuroactive,"Serotonin receptor agonist, Dopamine receptor antagonist","Serotonin 5-HT1A receptor, Dopamine D2 receptor",n/a,n/a,n/a,drugbank,n/a,4/13/2022,2477,QWCRAEMEVRGPNT-UHFFFAOYSA-N,n/a
ID_0141,Echimidine,DTXSID501020028,parent,n/a,Natural,Alkaloid,n/a,n/a,unknown,n/a,n/a,n/a,n/a,hepatotoxic ,"pubchem, Cao et al. 2013 (doi: 10.1016/j.jfca.2012.11.005)",n/a,3/1/2022,5281729,HRSGCYGUWHGOPY-LYHHMGRNSA-N,n/a
ID_0142,Laudanosine,DTXSID30878577,parent + TP,"Atracurium, Cisatracurium","Natural, Pharmaceutical",Alkaloid + TP Ph Muscle relaxant,n/a,n/a,Neuroactive,n/a,"GABA receptor, Glycine receptors, Opioid receptors, Nicotinic acetylcholine receptors",n/a,n/a,n/a,wikipedia,n/a,6/17/2022,73397,KGPAYJZAMGEDIQ-KRWDZBQOSA-N,n/a
ID_0143,Jasmolin I,DTXSID5042081,parent,n/a,"Natural, Pesticide",I/A,veterinary substance,insects,Neuroactive,Sodium channel modulator,Sodium channels,Repellent properties,fish,n/a,BPDB,n/a,7/8/2022,12304687,NZKIRHFOLVYKFT-VUMXUWRFSA-N,n/a
ID_0144,Jasmolin II,DTXSID0042082,parent,n/a,"Natural, Pesticide",I/A,veterinary substance,insects,Neuroactive,Sodium channel modulator,Sodium channels,Repellent properties,fish,n/a,BPDB,n/a,7/8/2022,12304690,WKNSDDMJXANVMK-XIGJTORUSA-N,n/a
ID_0145,Pyrethrin I,DTXSID4034499,parent,n/a,"Natural, Pesticide",I/A,veterinary substance,insects,Neuroactive,Sodium channel modulator,Sodium channels,Repellent properties,"fish, aquatic invertebrates",n/a,BPDB,n/a,7/8/2022,5281045,ROVGZAWFACYCSP-VUMXUWRFSA-N,n/a
ID_0146,Pyrethrin II,DTXSID2042353,parent,n/a,"Natural, Pesticide",I/A,veterinary substance,insects,Neuroactive,Sodium channel modulator,Sodium channels,Repellent properties,fish,n/a,BPDB,n/a,7/8/2022,5281555,VJFUPGQZSXIULQ-XIGJTORUSA-N,n/a
ID_0147,Cinerin I,DTXSID4041787,parent,n/a,"Natural, Pesticide",I/A,veterinary substance,insects,Neuroactive,Sodium channel modulator,Sodium channels,Repellent properties,fish,n/a,BPDB,n/a,7/8/2022,5281547,FMTFEIJHMMQUJI-DFKXKMKHSA-N,n/a
ID_0148,Cinerin II,DTXSID9041788,parent,n/a,"Natural, Pesticide",I/A,veterinary substance,insects,Neuroactive,Sodium channel modulator,Sodium channels,Repellent properties,fish,n/a,BPDB,n/a,7/8/2022,5281548,SHCRDCOTRILILT-WOBDGSLYSA-N,n/a
ID_0149,Dapoxetine,DTXSID0057627,parent,n/a,Pharmaceutical,Ph Psychotropic,treatment of premature ejaculation ,humans,Neuroactive,Selective Serotonin reuptake inhibition (SSRI),Serotonin receptors,n/a,n/a,n/a,drugbank,n/a,7/18/2022,71353,USRHYDPUVLEVMC-FQEVSTJZSA-N,n/a
ID_0150,Vancomycin,DTXSID0042664,parent,n/a,Pharmaceutical,Ph Antibiotic,n/a,bacteria (in humans),Antibiotic,Bacterial cell wall synthesis inhibition,D-Ala-D-Ala moiety of NAM/NAG peptide subunits of peptidoglycan,"forming of hydrogen bonds with the terminal D-Ala-D-Ala moiety of NAM and NAG peptide subunits, prevention of incorporation of NAM/NAG-peptide subunits into peptidoglycan matrix",n/a,n/a,"wikipedia, drugbank",n/a,3/1/2021,14969,MYPYJXKWCTUITO-LYRMYLQWSA-N,n/a
